,l1,l2,mean_exp,std_exp,mean_bound,std_bound,mean_v2_mean,mean_v2_std
11,117.82700246572495,16.908699944615364,0.6433578133583069,0.2786601483821869,101069.2957649875,101874.4295109006,5022.050497904587,712.04380826742
12,116.34825232625008,16.903769582509995,0.6565831899642944,0.2661190629005432,115485.0223262024,116126.93931537532,5713.622490240696,765.9298302041261
13,118.65718960762024,17.366680800914764,0.6806172132492065,0.31722491979599,115651.58752848202,116083.20794697451,6729.0099735129,1040.8452465469268
14,114.64163693785667,16.934684544801712,0.6587206721305847,0.30978909134864807,86447.8326428782,87003.57667511761,6612.0941288382655,918.4153689152944
15,115.84559923410416,17.338272660970688,0.6265892386436462,0.2626078724861145,88501.12772471136,88884.53660087893,5940.038708799447,1027.6705007023352
16,116.94250047206879,17.883496075868607,0.7013956308364868,0.2827180027961731,112015.63173819122,112792.59731434309,6255.518026290369,938.9325655516252
17,115.95976150035858,17.256742268800735,0.6732683181762695,0.2713795006275177,96311.86670513576,97405.31164882485,7807.384310685416,1335.8273809201467
18,116.46728682518005,16.88486871123314,0.7079963684082031,0.2661783695220947,81943.66471561002,82309.51923128776,5606.887116204924,529.7401063494195
19,116.16318875551224,17.010601922869682,0.7457378506660461,0.28578609228134155,69977.06328705917,70506.09094588005,5853.8698595044025,764.5279702390578
20,117.36353015899658,16.858805626630783,0.6242805123329163,0.28743794560432434,118138.06839615325,118931.18333634576,6222.173361961758,811.5026686708118
21,116.32182538509369,16.89819273352623,0.7069987058639526,0.2679122984409332,91553.33071579627,92078.9186116646,5444.494864158621,864.7211324647518
22,118.62788051366806,16.987404376268387,0.7619904279708862,0.29825758934020996,134606.1831869625,135318.8486897795,6992.121139558873,1141.9400896833604
23,117.356724858284,18.05556684732437,0.6644725203514099,0.28043800592422485,103745.97115139524,105375.06172048957,5884.2019944411595,1038.4227013641641
24,117.34336590766907,17.58429515361786,0.650335431098938,0.28265854716300964,129062.15274494581,130263.39959710058,6336.711852006692,1256.7719593956426
25,119.16275721788406,17.536005288362503,0.645134687423706,0.298453688621521,119199.45567297851,119655.16360147674,5939.621687260983,1251.0305701296604
26,116.56308645009995,16.743691444396973,0.6279627680778503,0.29591572284698486,111930.13495320227,112472.98649320788,5991.427018722623,740.4305370176039
27,117.32750165462494,17.238056540489197,0.6821190714836121,0.2865893244743347,108125.5382976678,108942.62513398679,5840.359137834007,755.1380135962766
28,114.14076882600784,17.319569885730743,0.7103495597839355,0.2660939693450928,73652.29735143666,74149.87042576862,5725.192375625177,976.6232273019768
29,115.8838055729866,17.439859628677368,0.5965849161148071,0.292233943939209,99729.57922613576,100183.51330321562,6064.976002473991,751.9922902499967
30,115.30619841814041,17.15443429350853,0.6105858087539673,0.28086090087890625,100883.09354606773,101797.74950748311,5246.310286885309,847.2214804322316
